document,text
03-01-2016 01:40:13,Great news- Former Mayor of Dallas Tom Leppert has just endorsed me! Thank you! Tomorrow is a big day- VOTE! #VoteTrump #SuperTuesday
03-01-2016 01:43:56,Thank you Georgia! 15000 amazing supporters tonight! Everyone get out  #VoteTrump tomorrow! #SuperTuesday 
03-01-2016 11:15:32,Got the endorsement of Brian France and @NASCAR yesterday in Georgia. Also many of the sports great drivers. Thank you Nascar and Georgia!
03-01-2016 19:33:20,The people of South Carolina are embarrassed by Nikki Haley!
03-01-2016 19:34:01,Thank you Columbus Ohio! 
03-01-2016 19:52:30,MAKE AMERICA GREAT AGAIN!
03-01-2016 20:43:24,Lets go America! Get out  #VoteTrump! #Trump2016#MakeAmericaGreatAgain!#SuperTuesday  
03-01-2016 22:18:29,Wow! Thank you Louisville Kentucky! #VoteTrump on 3/5/2016! Lets #MakeAmericaGreatAgain! 
03-02-2016 00:01:21,Thank you Georgia!#SuperTuesday #Trump2016
03-02-2016 01:01:49,Thank you Massachusetts! #Trump2016 #SuperTuesday
03-02-2016 01:02:09,Thank you Tennessee! #Trump2016#SuperTuesday
03-02-2016 01:02:19,Thank you Alabama! #Trump2016#SuperTuesday
03-02-2016 01:49:51,Thank you Virginia! #Trump2016#SuperTuesday
03-02-2016 04:05:52,Thank you Arkansas! #Trump2016#SuperTuesday
03-02-2016 05:06:00,Thank you Vermont! #Trump2016#SuperTuesday
03-02-2016 17:53:38,The special interests and people who control our politicians (puppets) are spending $25 million on misleading and fraudulent T.V. ads on me.
03-02-2016 18:11:23,Why would anyone in Florida vote for lightweight Senator Marco Rubio. Check out his credit card scam his house sale  his no show voting!
03-02-2016 18:18:37,Marco Rubio lost big last night. I even beat him in Virginia where he spent so much time and money. Now his bosses are desperate and angry!
03-02-2016 19:54:30,My wife @MELANIATRUMP will be #OnTheRecord w/ @greta tonight at 7pmE on @FoxNews. Enjoy!  
03-02-2016 21:50:30,Why can't the leaders of the Republican Party see that I am bringing in new voters by the millions-we are creating a larger stronger party!
03-02-2016 23:18:54,.@CNN poll just hit 49% for Trump. Interesting how my numbers have gone so far up since lightweight Marco Rubio has turned nasty. Love it!
03-02-2016 23:29:28,I am going to repeal and replace ObamaCare! Read more about my positions on healthcare reform here: 
03-02-2016 23:34:04,Failed Presidential Candidate Mitt Romney is having a news conference tomorrow to criticize me. (1/2)
03-02-2016 23:34:13,Just another desperate move by the man who should have easily beaten Barrack Obama. (2/2)
03-02-2016 23:54:31,I would love to see the Republican party and everyone get together- and unify.Video:  
03-03-2016 02:08:02,#MakeAmericaGreatAgain #Trump2016Video:  
03-03-2016 03:05:35,Because of me the Republican Party has taken in millions of new voters a record. If they are not careful they will all leave. Sad!
03-03-2016 03:18:30,Millions of dollars being spent on false TV ads by special interest groups who own Rubio  Cruz.When you see them think of your puppet POLS
03-03-2016 03:33:07,Looks like two-time failed candidate Mitt Romney is going to be telling Republicans how to get elected. Not a good messenger!
03-03-2016 11:22:32,Failed candidate Mitt Romneywho ran one of the worst races in presidential historyis working with the establishment to bury a big R win!
03-03-2016 11:30:35,I have brought millions of people into the Republican Party while the Dems are going down. Establishment wants to kill this movement!
03-03-2016 11:40:17,Why would the great people of Florida vote for a guy who as a Senator never even shows up to vote - worst record. Marco Rubio is a joke!
03-03-2016 11:47:21,I am the only one who can beat Hillary Clinton. I am not a Mitt Romney who doesn't know how to win. Hillary wants no part of Trump
03-03-2016 11:59:47,Why did Mitt Romney BEG me for my endorsement four years ago?
03-03-2016 14:21:14,The phony lawsuit against Trump U could have been easily settled by me but I want  to go to court. 98% approval rating by students. Easy win
03-03-2016 15:23:09,Go to Trump Doral in Miami and watch the World Golf Championship! On NOW!
03-03-2016 15:51:29,Will miss @RealBenCarson tonight at the #GOPDebate. I hope all of Ben's followers will join the #TrumpTrain. We will never forget.
03-03-2016 16:09:34,On my way to see the great people of Maine. Will be landing in Portland in 2 hours. Look forward to it! #Trump2016
03-03-2016 20:14:34,THANK YOU PORTLAND Maine!#MakeAmericaGreatAgain #Trump2016 
03-04-2016 01:20:00,Senator Sessions will serve as the Chairman of my National Security Advisory Committee.  
03-04-2016 01:29:17,Rubio puts out ad that my pilot was a drug dealer- not true not my pilot! Guy owned helicopter company- don't think I ever even used.
03-04-2016 04:30:45,The Better Business Bureau report with an A rating for Trump University. #GOPDebate  
03-04-2016 05:24:18,MY POSITION ON VISAS#MakeAmericaGreatAgain #Trump2016 
03-04-2016 12:13:00,Thank you America! #Trump2016  
03-04-2016 16:35:25,Thank you Macomb County Michigan! #MakeAmericaGreatAgain #Trump2016 
03-04-2016 17:36:03,U.S. Senator Bob Corker (R-Tenn.) issued the following statement today regarding the 2016 presidential election: 
03-04-2016 18:24:25,#VoteTrumpKS #Trump2016March 5 2016 | Wichita Kansas:  
03-04-2016 21:03:34,Thank you Cadillac Michigan! #VoteTrumpMI on 3/8/2016. We will MAKE AMERICA GREAT AGAIN! 
03-04-2016 21:54:49,Join me in Wichita Kansas tomorrow morning! Looking forward to it!#MakeAmericaGreatAgain #Trump2016
03-05-2016 02:41:15,Thank you New Orleans Louisiana!#MakeAmericaGreatAgain #VoteTrump 
03-05-2016 03:49:17,Join me in Wichita Kansas tomorrow morning! Looking forward to it!#MakeAmericaGreatAgain #Trump2016
03-05-2016 13:11:17,I am in Kansas. Will be an exciting day. Big speech this morning in Wichita and then go to caucus. Sorry CPAC (the format was fine!).
03-05-2016 13:14:05,Great time last night in Louisiana. Big and energetic crowd. Go out and vote now polls open. MAKE AMERICA GREAT AGAIN!
03-05-2016 13:22:18,For all of today's voters please remember that I am the only candidate that is self funding my campaign I am not bought and paid for!
03-05-2016 14:09:05,Wow big lines in Kansas.
03-05-2016 14:39:43,Will be in Orlando Florida this afternoon. 25000 people expected. This is a movement like our GREAT COUNTRY has never seen before!
03-05-2016 16:10:05,Why would anyone in Kentucky listen to failed presidential candidate Rand Paul re: caucus. Made a fool of himself (1%.)KY his 2nd choice!
03-05-2016 16:12:43,To the people of Kentucky Rand Paul didn't want you. Now he runs back due to his presidential failure. #VoteTrump #MakeAmericaGreatAgain
03-05-2016 16:19:30,Thank you Kansas! Thousands of people inside- and thousands outside who couldn't get into the hall. Really amazing! #CaucusForTrump
03-05-2016 16:20:26,Getting ready to make my speech at #KansasCaucus. A great honor! #MakeAmericaGreatAgain #Trump2016
03-05-2016 16:23:27,#CaucusForTrump #Trump2016  
03-05-2016 17:23:14,Thank you Kansas! The line going into the Orlando event is over a mile long. Massive crowd expected. Leaving Kansas now be there soon!
03-05-2016 17:57:30,.@MittRomney was a disaster candidate who had no guts and choked! Romney is a total joke and everyone knows it!
03-05-2016 18:08:11,Romney's failed advisors like campaign mgr Stuart Stevens are all over TV telling people how to win. But they lost- don't know how to win!
03-05-2016 18:09:50,I am watching two clown announcers on @FoxNews as they try to build up failed presidential candidate #LittleMarco. Fox News is in the bag!
03-05-2016 18:30:10,I would love to be at the Cadillac World Golf Championship @TrumpDoral in Miami- but even more so in Orlando with the #TrumpTrain!
03-05-2016 18:33:04,Thank you Willie Robertson! #VoteTrump #MakeAmericaGreatAgain  
03-05-2016 18:44:45,I will be at the Cadillac World Golf Championship @TrumpDoral in Miami tomorrow! Rory Phil Bubba Adam and Dustin all at the top!
03-06-2016 02:53:00,Thank you Louisiana! #Trump2016#SuperSaturday
03-06-2016 03:48:02,Thank you Kentucky! #Trump2016#SuperSaturday
03-06-2016 05:40:37,.@FoxNews is devastated that lightweight Senator Marco Rubio got trounced tonight and is the big loser. I won the two big states great!
03-06-2016 13:12:39,I will be interviewed on @FaceTheNation this morning. Enjoy!  @jdickerson
03-06-2016 15:43:39,FLORIDA: Do not miss this opportunity to #MakeAmericaGreatAgain! Thank you @IvankaTrump:  
03-06-2016 17:24:46,Thank you Michigan! #Trump2016 
03-06-2016 17:25:25,David Brooks of the New York Times is closing in on being the dumbest of them all. He doesn’t have a clue.
03-06-2016 17:26:01,Nancy Reagan the wife of a truly great President was an amazing woman. She will be missed!
03-06-2016 17:27:21,The primary plaintiff in the phony Trump University suit wants to abandon the case. Disgraceful!
03-06-2016 17:32:42,Fraud lightweight Marco made a TV ad on TrumpU featuring 2 people who signed these letters: ://t.co/KFmotmqfnN
03-06-2016 18:03:00,Thank you to @jdickerson and @FaceTheNation for a very fair and professional interview this morning. No wonder you are #1 in the ratings!
03-06-2016 18:15:29,I am at Trump National Doral-best resort in U.S. Rory and Adam Scott are doing great! Watch on NBC at 3:00 P.M.  MAKE AMERICA GREAT AGAIN!
03-06-2016 18:19:13,.@meetthepress and @chucktodd did a 1 hour hit job on me today – totally biased and mostly false. Dishonest media!
03-07-2016 02:54:29,All of the phony T.V. commercials against me are bought and payed for by SPECIAL INTEREST GROUPS the bandits that tell your pols what to do
03-07-2016 02:58:38,How do you fight millions of dollars of fraudulent commercials pushing for crooked politicians? I will be using Facebook  Twitter. Watch!
03-07-2016 11:48:39,Failed presidential candidate Lindsey Graham should respect me. I destroyed his run brought him from 7% to 0% when he got out. Now nasty!
03-07-2016 12:03:59,Lindsey Graham is all over T.V. much like failed 47% candidate Mitt Romney. These nasty angry jealous  failures have ZERO credibility!
03-07-2016 13:03:16,We cannot let the failing REPUBLICAN ESTABLISHMENT who could not stop Obama (twice) ruin the MOVEMENT with millions of  $'s in false ads!
03-07-2016 13:10:22,I will be using Facebook and Twitter to expose dishonest lightweight Senator Marco Rubio. A record no-show in Senate he is scamming Florida
03-07-2016 13:55:14,Congratulation to Adam Scott and all of the folks at Trump National Doral on producing a really great WGC Tournament. Amazing finish!
03-07-2016 15:23:00,Leaving for North Carolina. Big crowd will be fun!
03-07-2016 16:50:14,Don't believe the millions of dollars of phony television ads by lightweight Rubio and the R establishment. Dishonest people!
03-07-2016 21:23:58,It was great being in Michigan. Remember I am the only presidential candidate who will bring jobs back to the U.S.and protect car industry!
03-07-2016 22:34:53,Lightweight Senator Marco Rubio features Trump Univ. students in FL. attack ads- who submitted excellent reviews. 
03-07-2016 22:48:21,Thank you Idaho! I love your potatoes- nobody grows them better. As President I will protect your market. 
03-07-2016 23:48:33,New ad concerning lightweight Senator Marco Rubio: 
03-08-2016 00:47:23,I will be interviewed by @SeanHannity tonight at 10pm EST on @FoxNews! Enjoy!
03-08-2016 01:49:39,Cruz came to Mississippi there was nobody there he left the state. I had a rally in Madison MS with 10000! Thank you!
03-08-2016 02:25:08,I employ many people in Hawaii at my great hotel in Honolulu. I’ll be there very soon. Vote for me Hawaii!
03-08-2016 02:47:19,Ted Cruz Was For Welcoming Syrian Refugees Before He Was Against It
03-08-2016 02:54:34,People forget it was Club for Growth that asked me for $1 million. I said no  they went negative. Extortion! 
03-08-2016 02:55:32,The Club for Growth is a very dishonest group. They represent conservative values terribly  are bad for America. 
03-08-2016 14:17:43,Michigan Mississippi Idaho  Hawaii: Get out to VOTE and join the movement today! Video:  
03-08-2016 15:23:17,Thank you @EricTrump! 
03-08-2016 15:23:49,MAKE AMERICA GREAT AGAIN!
03-08-2016 16:12:12,Sun Sentinel says: Rubio lacks the experience work ethic and gravitas needed to be president. HE HAS NOT EARNED YOUR VOTE!
03-08-2016 16:21:11,Remember I am the only one who is self-funding my campaign. All of the other candidates are bought and paid for by special interests!
03-08-2016 17:36:00,Mitt Romney had his chance and blew it. Lindsey Graham ran for president got ZERO and quit! Why are they now spokesmen against me? Sad!
03-08-2016 17:39:43,#VoteTrumpMS! #Trump2016
03-08-2016 17:40:53,#VoteTrumpMI! #Trump2016
03-08-2016 17:44:37,#VoteTrumpHI! #Trump2016
03-08-2016 17:46:01,#VoteTrumpID! #Trump2016
03-08-2016 17:52:32,Hawaii::::
03-08-2016 20:57:48,The negative television commercials about me paid for by the politicians bosses are a total #Mediafraud. When you watch remember!
03-08-2016 23:53:48,I hear @NBCNews / @WSJ came out with another one of their phony polls. While I am leading they are totally discredited after last S.C. poll
03-08-2016 23:58:02,Word is I am doing very well in Michigan and Mississippi! Wow and with all that money spent against me! Will be going to Trump Jupiter now!
03-09-2016 01:12:46,Thank you America! #Trump2016
03-09-2016 01:14:50,Thank you! #Trump2016 
03-09-2016 01:28:43,Thank you Mississippi! #Trump2016
03-09-2016 02:02:25,Thank you Michigan! #Trump2016
03-09-2016 03:58:28,This was a great evening- I would like to thank everyone for their wonderful support.
03-09-2016 07:36:16,Thank you Hawaii! #Trump2016
03-09-2016 21:46:12,Phony Club For Growth tried to shake me down for one million dollars  is now putting out nasty negative ads on me. They are total losers!
